,Census Tract,Total Population,ZIP,Longitude,Latitude,Ozone,PM2.5,Diesel PM,Pesticides,Tox. Release,Traffic,Asthma,Low Birth Weight,Cardiovascular Disease,Poverty,Unemployment
7486,6085507301,6555,95070,-122.0078856,37.2589677,0.038,10.37,8.85,0.78,158.2233975,691.49,13.48,3.75,4.38,8.0,7.1
7488,6089011900,4511,96073,-122.2576122,40.5229657,0.044,6.18286598,1.921,8.19,13.93833624,180.05,29.51,3.95,6.33,21.5,8.7
7489,6001442000,3212,94539,-121.9351067,37.5592488,0.035,9.1171234,13.007,0.0,106.9391998,1322.88,20.24,4.76,5.88,6.6,6.2
7490,6037920016,4904,91390,-118.5206685,34.463885,0.062,9.53630303,6.976,0.0,41.4609947,381.74,14.83,2.65,8.03,8.4,8.0
7491,6057001203,2927,96161,-120.2110907,39.353485,0.048,7.02122524,4.211,0.0,138.5917015,407.59,10.33,3.39,3.16,25.8,11.1
7492,6001430200,6916,94552,-122.0615667,37.7216743,0.033,8.69794377,12.429,0.29,358.7625225,281.07,49.54,3.35,7.65,4.1,5.1
7493,6097152600,8365,95404,-122.6369331,38.5260666,0.03,6.93511659,1.668,5.64,61.66146599,348.12,27.24,4.49,4.66,11.0,6.2
7494,6037139703,2943,91356,-118.5320785,34.144579,0.055,10.37,4.852,0.0,628.7064199,278.4,28.69,3.97,5.07,14.6,6.1
7495,6085507402,3881,95070,-121.9995034,37.2818643,0.038,10.37,11.701,0.03,164.3797786,954.76,13.33,4.63,3.94,10.5,6.8
7496,6089010702,3896,96003,-122.4132103,40.6042154,0.042,6.18286598,7.333,0.0,12.99005875,257.19,50.43,1.99,7.87,33.4,3.0
7497,6073008333,13748,92130,-117.2092215,32.9260179,0.042,9.53630303,21.859,0.09,27.62201069,2502.14,12.13,4.17,3.84,13.5,5.4
7498,6037134421,3941,91307,-118.64714,34.202023,0.055,10.37,4.513,0.0,335.5638228,364.93,34.99,2.98,6.15,10.1,4.3
7499,6085511200,4849,94301,-122.1470265,37.4511865,0.033,9.53630303,20.04,0.0,184.1071297,515.01,16.69,5.61,3.91,3.2,5.6
7500,6087120600,4733,95018,-122.0465656,37.0960709,0.038,10.37,1.131,0.01,36.91562898,576.12,15.98,2.78,3.99,19.3,7.5
7501,6073008313,2225,92037,-117.2409319,32.8551617,0.042,9.53630303,19.57,0.0,97.31866791,1053.34,16.66,4.76,3.73,9.1,4.9
7502,6081613400,3093,94062,-122.2862916,37.4210369,0.033,9.95548266,2.25,0.27,140.2330483,384.34,23.1,4.65,4.68,10.7,2.1
7503,6087121100,2963,95073,-121.9607648,37.0433747,0.038,9.1171234,1.164,0.47,37.56804221,350.66,24.51,3.25,3.73,27.7,6.9
7504,6085511609,3183,94304,-122.1743786,37.4385528,0.033,9.53630303,13.746,0.0,172.6284389,540.45,6.36,3.84,2.21,14.4,2.7
7505,6059042323,4512,92629,-117.7165385,33.4741078,0.048,8.69794377,2.927,0.3,1715.996014,343.21,29.15,4.05,5.65,9.1,5.6
7506,6001405100,4197,94610,-122.2321836,37.8114477,0.03,8.69794377,44.403,0.0,369.523345,1228.36,49.59,3.3,5.29,3.1,4.5
7507,6073007002,2947,92106,-117.235636,32.7323705,0.04,11.21,11.013,0.0,240.1722701,432.19,23.86,4.7,3.89,18.2,8.8
7509,6073017055,5483,92128,-117.072852,32.9794748,0.044,10.37,13.542,0.0,20.69829849,557.49,17.22,4.6,5.51,6.9,5.0
