Census_Tract,Ozone,PM2_5,Diesel_PM,Pesticides,Tox_Release,Traffic
6037297110,0.042,11.21,51.9,0.0,5380.045377,678.7
6019002702,0.065,15.4,30.067,0.0,3595.957918,599.92
6037530601,0.048,12.47,31.02,0.0,9020.986318,1582.07
6029002000,0.065,18.76,31.687,0.0,55.62947651,662.76
6037541500,0.044,12.05,18.7,0.0,6003.648735,725.69
6037572500,0.042,11.21,32.697,11.55,9676.110813,467.94
6037104310,0.057,11.21,24.119,0.0,614.3619705,1816.25
6065042508,0.065,12.89,13.13,0.0,539.6205541,685.71
6037241120,0.044,12.05,24.76,0.0,5162.402119,3617.7
6037242300,0.044,12.05,25.04,0.0,5588.172893,644.17
6001408800,0.03,8.69794377,38.315,0.0,548.0919212,411.44
6029006201,0.065,18.34,5.47,5363.82,181.447108,210.71
6037122200,0.055,12.05,41.37,0.0,1177.607008,1508.63
6037543801,0.042,12.05,23.92,0.06,7538.739097,2376.9
6073003901,0.038,11.21,62.806,0.0,708.184092,763.55
6029004604,0.062,17.92,4.866,2425.55,171.9645718,281.59
6029002600,0.065,19.18,34.934,0.0,49.81142657,609.11
6037231720,0.046,12.89,41.19,0.0,3883.416477,4043.36
6065030503,0.065,12.89,47.26,0.0,946.7538749,762.99
6077003700,0.048,13.25,10.01,2045.18,579.8908265,589.87
6037191810,0.05,12.47,36.19,0.0,2187.846029,1545.4
6037502500,0.046,12.05,21.732,0.01,8338.966859,723.79
6037542602,0.044,12.05,18.7,0.0,5905.577897,585.05
6019003400,0.065,15.4,51.346,0.0,2381.035686,1026.47
6065040102,0.065,13.73,7.668,0.0,2671.928943,1649.62
6037530801,0.046,12.89,31.02,0.0,8999.256551,2413.14
6037227020,0.046,12.89,41.959,0.0,5558.250148,791.01
6037533902,0.046,12.05,26.141,64.08,8545.67301,578.32
6037530802,0.046,12.89,31.02,0.0,9078.601288,1932.71
6047002201,0.051,12.89,11.369,102.73,1.703732863,368.48
6037534502,0.046,12.05,22.094,0.0,7588.899697,819.88
6037294701,0.042,11.21,132.228,0.0,8270.027172,654.45
6037534900,0.046,12.05,23.49,0.0,6003.704588,1070.58
6037195802,0.046,12.89,39.026,0.0,3530.10489,2912.56
6037534405,0.046,12.05,23.001,0.0,8475.381129,948.03
6071007108,0.065,12.47,39.887,0.0,707.2836592,2703.37
6037104401,0.057,11.21,24.19,0.0,650.6636135,1700.28
6037570403,0.042,12.05,29.03,0.0,6310.938304,1372.36
6111004902,0.044,9.53630303,13.663,33324.22,158.1871979,1017.34
6037402501,0.057,12.89,23.049,0.0,9342.454665,505.86
6037570203,0.044,12.05,21.75,0.0,6835.636056,2325.63
6037123204,0.055,12.05,21.73,0.0,1164.583698,1087.32
6037229200,0.046,12.89,26.33,0.0,4805.605133,914.29
6037127220,0.055,11.21,18.09,0.0,747.6055163,1265.12
6073005100,0.038,11.21,110.8,0.0,346.2224777,1071.3
6037542106,0.044,12.05,27.216,0.0,6507.396839,1631.88
6037123203,0.055,12.05,21.73,0.0,1161.172357,854.59
6037192700,0.048,12.89,29.34,0.0,3028.784144,2309.27
6037239201,0.046,12.47,26.33,0.0,4418.935442,4092.07
6037532700,0.046,12.47,23.49,0.0,5998.681226,723.67
6037232120,0.046,12.89,29.818,0.0,3950.103192,4744.05
6037571701,0.042,11.63,21.52,0.0,6355.618263,2288.07
6037218500,0.048,12.05,25.068,0.0,2211.120112,3494.81
6071007604,0.068,11.63,18.677,0.14,413.3605466,816.27
6037541605,0.044,12.05,23.695,0.0,5994.218664,569.24
6037204810,0.046,12.89,55.445,0.0,17201.94025,3462.77
6019002701,0.065,15.4,36.6,0.0,2850.405095,503.14
6037531504,0.046,12.47,56.52,0.0,20801.40996,1055.23
6037502301,0.046,12.05,20.806,0.0,7622.684027,1740.58
6099002004,0.053,12.89,14.06,29.82,859.0658117,715.01
6071004800,0.065,12.05,38.37,0.0,1046.916396,1152.22
6037224020,0.046,12.89,41.19,0.0,4634.193858,2838.24
6037535002,0.046,12.05,23.49,0.0,5683.951549,868.15
6037228720,0.046,12.89,29.48,0.0,5276.987819,733.04
6037541606,0.044,12.05,18.7,0.0,5913.238971,564.74
6037503000,0.046,12.05,23.492,0.0,5413.000459,534.3
6037536000,0.044,12.05,18.53,0.01,7763.893485,1341.61
6037208302,0.046,12.89,60.69,0.0,4497.697102,978.19
6025011400,0.055,7.85958451,12.95,117.29,246.5963788,775.0
6037603001,0.044,12.05,27.559,11.29,5896.146203,672.27
6037602900,0.044,12.05,24.786,20.72,5231.304724,878.43
6059086407,0.048,11.21,19.719,69.64,36161.23796,3352.1
6077005131,0.05,12.89,9.267,3667.52,1429.844297,597.66
6099003804,0.057,12.89,15.862,2567.04,414.4677426,786.64
6037541700,0.044,12.05,26.94,0.0,6163.888166,2981.66
6037219300,0.046,12.89,26.04,0.0,2457.000514,1675.33
6037190801,0.05,12.89,36.19,0.0,2183.879834,1709.02
6037206010,0.046,12.89,55.558,0.0,5370.14677,1103.19
6037104320,0.057,11.21,19.849,0.0,655.4932439,1598.63
6037408301,0.05,12.05,31.965,0.0,10455.55082,1817.66
6037190510,0.05,12.89,36.19,0.0,2348.162551,2377.56
6037402903,0.057,12.89,22.77,0.0,7372.209933,467.93
6037128303,0.055,11.21,25.49,0.0,968.4265411,1313.59
6029000400,0.062,18.76,49.192,0.0,89.07598563,761.33
6099002005,0.053,12.89,14.06,202.52,841.2665912,530.45
6037402406,0.057,12.05,26.74,0.0,9134.18112,1632.78
6037533603,0.046,12.05,23.1,0.0,8624.042589,952.7
6107003400,0.065,14.22,4.161,788.52,14.0885488,231.55
6111009100,0.044,9.53630303,13.254,7457.26,289.1635659,540.26
6019002602,0.065,15.4,41.563,0.0,3968.080438,538.31
6071006601,0.065,12.89,22.06,0.0,984.1108399,1730.55
6037243000,0.044,12.05,25.04,0.0,5878.672509,750.45
6037228710,0.046,12.89,30.66,0.0,5209.015871,967.19
6099002604,0.053,12.89,20.128,0.0,720.0,1349.46
6037433101,0.05,11.63,22.223,0.66,6257.039234,3215.01
6029004800,0.062,17.5,17.03,0.69,1.157935022,691.93
6037603102,0.044,12.05,27.16,0.51,9128.342633,912.95
6037533602,0.046,12.05,23.1,0.0,9371.132902,904.07
6037502902,0.046,12.05,18.52,0.0,5959.205882,575.37
6071004103,0.068,12.47,22.284,0.0,1484.493268,814.47
6071000301,0.06,12.89,35.096,2.12,6008.762015,474.3
6071003301,0.065,12.89,42.45,0.0,6844.163839,1537.65
6019003809,0.062,15.4,41.244,0.0,2550.085621,864.54
6037542200,0.044,12.05,29.03,0.0,6312.959418,1834.1
6037502302,0.046,12.05,19.759,0.0,7401.648337,665.28
6039000502,0.062,12.05,17.614,72.28,13375.38636,702.29
6019008302,0.055,12.69,3.264,1422.89,157.3688606,273.85
6037240900,0.044,12.05,24.765,0.0,5408.967962,806.62
6037294120,0.042,11.21,36.66,0.14,14172.59897,766.97
6037241002,0.044,12.05,27.11,0.0,5511.977524,3801.82
6099002401,0.053,12.89,22.67,918.93,711.4830607,534.07
6037241202,0.044,12.05,24.76,0.0,5096.133527,3690.19
6037123020,0.055,12.05,41.37,0.0,1210.867608,1064.22
6037120300,0.055,11.21,18.09,0.0,814.0044249,1406.18
6071004201,0.065,12.47,20.602,0.0,1469.390032,505.0
6037207102,0.046,12.89,62.68,0.0,5694.657387,1384.18
6037535604,0.044,12.05,25.04,0.0,6124.296428,1132.18
6071006500,0.065,12.05,22.307,0.0,592.2110668,520.28
6037533105,0.046,12.05,23.49,0.0,7745.071685,924.39
6067005205,0.05,9.53630303,14.08,0.09,438.0722207,1443.8
6037120020,0.057,11.21,18.09,0.0,681.2777244,1384.37
6099003100,0.055,12.89,6.861,1912.31,210.1422815,202.59
6037402402,0.057,12.47,23.452,3.31,14513.58233,881.86
6037532001,0.046,12.05,30.766,0.0,10581.72642,650.08
6037405001,0.053,11.21,23.301,0.0,7595.17329,471.79
6037533805,0.046,12.05,23.1,0.0,9921.258766,1463.7
6037534203,0.046,12.05,16.41,5.55,8396.416651,634.38
6047001301,0.057,12.89,23.857,4.8,12.7921839,813.8
6037534803,0.046,12.05,23.49,0.0,6446.276252,940.34
6065042904,0.065,12.89,5.427,0.64,514.3106425,989.49
6037532606,0.046,12.05,23.49,0.0,7703.636415,895.63
6037533601,0.046,12.05,23.1,0.0,10230.49165,941.91
6037123205,0.055,12.05,21.73,0.0,1212.389885,989.18
6037209103,0.046,12.89,60.69,0.0,4483.546699,1047.26
6013379000,0.03,8.69794377,47.223,0.0,1337.784503,424.6
6037291300,0.042,12.05,25.634,0.07,10738.5908,2462.83
6037121900,0.055,12.05,21.985,0.01,1082.734572,1706.33
6037540600,0.044,12.05,19.103,0.0,5887.754382,2071.43
6107002901,0.06,17.08,18.012,17.29,54.0365017,603.2
6037186401,0.05,12.47,21.83,0.0,2711.493288,1976.1
6037533103,0.046,12.05,23.49,0.0,6421.228369,963.91
6037432802,0.05,11.21,20.62,0.33,5850.895403,2198.83
6013312000,0.038,7.85958451,19.782,0.0,1099.019894,1192.72
6037191000,0.05,12.47,36.19,0.0,2185.254131,2554.29
6071000904,0.062,12.89,37.47,0.0,4526.010897,2328.65
6037226700,0.046,12.89,41.19,0.0,4827.644693,714.75
6065040101,0.065,13.31,14.059,0.0,1542.564461,1385.5
6099001900,0.053,12.89,20.801,0.91,851.2523302,821.64
6037226410,0.046,12.89,41.19,0.0,4972.665044,971.12
6037226420,0.046,12.89,41.19,0.0,5179.581771,920.81
6037533202,0.046,12.05,23.337,0.0,8179.470432,991.6
6077001800,0.046,13.61,16.123,0.0,550.2331176,1191.3
6065041600,0.06,13.31,36.215,0.0,15176.67205,1865.54
