Census_Tract,Total_Population,ZIP,Longitude,Latitude
6037408800,3738,91766,-117.7503192,34.0577434
6001409100,2255,94603,-122.1834997,37.7323261
6065030103,2105,92501,-117.3656342,33.9928146
6065041410,3288,92879,-117.5306429,33.8801854
6037297110,4679,90731,-118.284187,33.7346618
6019002702,5882,93702,-119.7453861,36.739532
6037530601,3431,90063,-118.1755967,34.0539591
6029002000,7111,93304,-119.0109288,35.3604274
6037541500,5836,90222,-118.2270116,33.9148293
6037572500,3365,90810,-118.2182796,33.8165383
6037104310,4921,91331,-118.4292815,34.2763731
6065042508,4888,92551,-117.239288,33.8955489
6037241120,4564,90061,-118.2768346,33.9364442
6037242300,4586,90002,-118.2461145,33.948506
6001408800,5547,94621,-122.1969422,37.7588039
6029006201,2877,93307,-118.9369122,35.2620354
6037122200,4141,91352,-118.3594527,34.2143159
6037543801,5263,90745,-118.2732944,33.8414725
6073003901,4241,92113,-117.1267377,32.7035568
6029004604,15845,93250,-119.1909489,35.6819031
6029002600,3539,93307,-119.0117159,35.3457339
6037231720,4966,90037,-118.284071,34.0074463
6065030503,3812,92507,-117.352832,33.9799005
6077003700,3570,95215,-121.190401,37.9350761
6037191810,3498,90038,-118.3277122,34.088924
6037502500,4215,90660,-118.1106254,33.9759777
6037542602,5496,90220,-118.2262997,33.8996115
6019003400,4555,93703,-119.7791954,36.7724799
6065040102,4630,92509,-117.44041,34.0234351
6037530801,6325,90063,-118.1883898,34.0508765
6037227020,3599,90011,-118.251933,34.0157537
6037533902,4051,90201,-118.1537012,33.967443
6037530802,3668,90063,-118.181318,34.052283
6047002201,6097,93635,-120.8585299,37.0634558
6037534502,4257,90255,-118.2006924,33.9653735
6037294701,3019,90744,-118.2549079,33.7780161
6037534900,6569,90001,-118.2367913,33.9707698
6037195802,2881,90026,-118.2776959,34.0756705
6037534405,4292,90201,-118.1829301,33.9660331
6071007108,2202,92324,-117.3056556,34.0592689
6037104401,3357,91331,-118.4327217,34.2670388
6037570403,4587,90805,-118.2044859,33.8778668
6111004902,5091,93030,-119.1342635,34.2084353
6037402501,5577,91766,-117.7643708,34.0542894
6037570203,3973,90805,-118.1600078,33.8783269
6037123204,3449,91606,-118.3943295,34.193936
6037229200,4394,90011,-118.2608283,33.9982715
6037127220,4931,91405,-118.4531264,34.2047824
6073005100,7140,92113,-117.1528082,32.7037376
6037542106,3373,90221,-118.1890767,33.8934041
6037123203,3765,91605,-118.3916113,34.1967006
6037192700,3513,90004,-118.2881064,34.0800134
6037239201,3562,90003,-118.2771699,33.9857805
6037532700,2990,90001,-118.2413457,33.9852598
6037232120,5263,90037,-118.2839315,33.9996748
6037571701,6352,90805,-118.2017298,33.847882
6037218500,2869,90016,-118.3505675,34.0373844
6071007604,4306,92374,-117.197144,34.1064459
6037541605,5323,90221,-118.2100244,33.8993431
6037204810,4478,90023,-118.2030018,34.0285553
6019002701,4673,93702,-119.7453946,36.7468158
6037531504,4414,90022,-118.1673915,34.0282174
6037502301,5461,90606,-118.0787046,33.9680887
6099002004,6022,95354,-120.9440005,37.6466798
6071004800,3282,92411,-117.3082365,34.1120412
6037224020,2789,90007,-118.2686568,34.0304827
6037535002,3681,90001,-118.2465194,33.9711665
6037228720,4492,90011,-118.2499406,33.999367
6037541606,2506,90221,-118.218295,33.8997715
6037503000,6057,90605,-118.0508252,33.9243441
6037536000,3720,90280,-118.1918918,33.9548717
6037208302,4360,90026,-118.2624816,34.0634788
6025011400,4580,92243,-115.5453184,32.7938734
6037603001,7139,90247,-118.2957134,33.9011403
6037602900,4427,90249,-118.3065724,33.9079762
6059086407,6488,92806,-117.8580732,33.8446052
6077005131,4173,95336,-121.1751635,37.8481254
6099003804,6450,95380,-120.8633794,37.4995559
6037541700,6366,90262,-118.2033535,33.9170524
6037219300,3700,90018,-118.3318299,34.0267587
6037190801,2594,90028,-118.3244586,34.0943767
6037206010,3127,90012,-118.2302769,34.06898
6037104320,5998,91331,-118.4202492,34.2731324
6037408301,5427,91746,-117.9969046,34.0468815
6037190510,4227,90028,-118.3113901,34.0999771
6037402903,4138,91766,-117.7335433,34.039394
6037128303,3982,91411,-118.4523813,34.1830757
6029000400,4319,93308,-119.033747,35.4058896
6099002005,3631,95354,-120.9345314,37.6436041
6037402406,4776,91768,-117.7827836,34.0670423
6037533603,6617,90201,-118.195066,33.9724728
6107003400,7016,93257,-119.0257487,36.0344686
6111009100,5279,93030,-119.1669539,34.1929074
6019002602,3520,93702,-119.7634494,36.7395157
6071006601,4564,92324,-117.3378085,34.0729192
6037243000,6769,90002,-118.2336919,33.9395183
6037228710,4235,90011,-118.2542903,33.9993679
6099002604,4681,95307,-120.9641077,37.6035519
6037433101,2281,91731,-118.0605567,34.0686907
6029004800,9297,93215,-119.2527683,35.7653256
6037603102,4084,90247,-118.2952308,33.8771796
6037533602,5420,90201,-118.1965167,33.9771928
6037502902,4043,90670,-118.0524424,33.9427453
6071004103,5634,92407,-117.3313886,34.1410962
6071000301,8795,91763,-117.6996325,34.063215
6071003301,4841,92335,-117.4447619,34.0723219
6019003809,4771,93722,-119.8702581,36.7926994
6037542200,6962,90221,-118.1971508,33.8868935
6037502302,3000,90606,-118.0683122,33.9660089
6039000502,10473,93637,-120.0540893,36.9361811
6019008302,6562,93640,-120.5773805,36.626297
6037240900,5620,90059,-118.2606543,33.9346821
6037294120,2370,90744,-118.2475763,33.7957797
6037241002,3606,90059,-118.2614031,33.925262
6099002401,3567,95358,-121.0018903,37.5972529
6037241202,4943,90044,-118.2857509,33.9334324
6037123020,3432,91352,-118.3664946,34.2047368
6037120300,5531,91402,-118.4408399,34.2152914
6071004201,6854,92411,-117.331566,34.1272418
6037207102,2553,90012,-118.2395097,34.0592851
6037535604,4435,90280,-118.2241036,33.9506731
6071006500,8386,92410,-117.2661895,34.1032656
6037533105,2580,90255,-118.216407,33.9828819
6067005205,2109,95826,-121.3955102,38.5374689
6037120020,4057,91402,-118.4548516,34.2188235
6099003100,4000,95358,-121.0573902,37.5442264
6037402402,7076,91766,-117.7865057,34.0546198
6037532001,3415,90640,-118.1235535,34.0060075
6037405001,6170,91706,-117.9659964,34.1027727
6037533805,3604,90201,-118.1751358,33.9744232
6037534203,3204,90201,-118.1514821,33.9583801
6047001301,3213,95340,-120.4917855,37.3071923
6037534803,4930,90255,-118.2254355,33.9692765
6065042904,9352,92570,-117.2666634,33.8163878
6037532606,4284,90255,-118.2208725,33.9832062
6037533601,4484,90201,-118.1942193,33.9804922
6037123205,2645,91605,-118.3835614,34.1945637
6037209103,3216,90017,-118.2640302,34.05711
6013379000,6117,94804,-122.3567421,37.9283199
6037291300,2601,90248,-118.2949002,33.86433
6037121900,4110,91352,-118.3831998,34.217858
6037540600,4271,90059,-118.2341162,33.9243583
6107002901,3729,93274,-119.3370033,36.196369
6037186401,3452,90065,-118.2455126,34.1174815
6037533103,3577,90255,-118.231291,33.9771202
6037432802,5821,91731,-118.0533005,34.0788602
6013312000,2292,94565,-121.8695963,38.0152346
6037191000,3228,90028,-118.321677,34.1009548
6071000904,3248,91786,-117.6426056,34.0904613
6037226700,6170,90011,-118.2621294,34.0173502
6065040101,4287,92509,-117.3964984,34.02279
6099001900,5257,95354,-120.9695762,37.6436844
6037226410,3491,90011,-118.2622815,34.0241996
6037226420,4906,90011,-118.2570623,34.0218419
6037533202,2762,90255,-118.2097713,33.9784203
6077001800,3939,95205,-121.254226,37.9672954
6065041600,6230,92879,-117.5572508,33.875079
6067002200,4004,95818,-121.5071562,38.5612821
6037240600,4932,90003,-118.2684059,33.946945
6037123303,3301,91605,-118.4116037,34.1972751
6099002002,4527,95357,-120.9148312,37.6444867
6037540902,4506,90061,-118.2718223,33.9109785
6037541200,5662,90222,-118.2543733,33.9083355
6019004205,5888,93722,-119.8544515,36.7971891
6037402301,5454,91768,-117.7700769,34.0680438
6037241400,3285,90061,-118.2755609,33.92558
6071001503,4195,91764,-117.6324246,34.0667083
6037603302,3804,90247,-118.3073078,33.8749347
6037127605,3549,91406,-118.4847378,34.189727
6037432700,5262,91731,-118.0339351,34.0755467
6037433902,3780,91732,-118.0268687,34.0525708
6037553602,4730,90723,-118.1644286,33.9089742
6037218400,4714,90016,-118.3592342,34.0369278
6037433501,1954,91733,-118.0651222,34.0572554
6037228600,5049,90011,-118.2608661,34.0036935
6037570602,6356,90805,-118.1729332,33.8561559
6037543201,3607,90220,-118.2347142,33.8849107
6019001407,4694,93727,-119.7273757,36.7322737
6037531902,4077,90022,-118.1324571,34.0117799
6037232700,5895,90037,-118.2858532,33.9923462
6037291120,2210,90248,-118.2869247,33.9127934
6037531702,4754,90022,-118.1597749,34.0158731
6037542104,3524,90221,-118.190616,33.900837
6077003803,5281,95231,-121.2688218,37.885527
6065041203,3545,92503,-117.457896,33.9337586
6037121802,3525,91605,-118.3913647,34.2192112
6037434004,2796,91733,-118.0321896,34.0402202
6037185203,3200,90065,-118.2316884,34.1001272
6037532500,4078,90255,-118.2209803,33.9899239
6037407002,3804,91746,-117.991289,34.0555809
6037239802,4902,90001,-118.2629489,33.962408
6037228210,3806,90011,-118.2534818,34.010412
6047001302,3264,95340,-120.4781909,37.3040353
6037575402,4065,90813,-118.1915438,33.7862264
6037231710,4358,90037,-118.2893576,34.0073136
6065042010,5887,92570,-117.2733152,33.8509446
6037405102,5069,91706,-117.9626794,34.0892124
6037203600,5394,90033,-118.2095139,34.0513395
6037570204,4130,90805,-118.1556129,33.8716329
6065040201,5897,92509,-117.4188498,33.9839627
6037104822,2277,91331,-118.4209236,34.2458338
6077005127,5510,95330,-121.2811772,37.8340882
6037124104,2439,91606,-118.38341,34.1848613
6037302503,4330,91205,-118.2473422,34.1376048
6059110500,8631,90620,-118.0150263,33.8646765
6071002401,8946,92335,-117.4800188,34.0955973
6037408401,4289,91745,-117.9819037,34.0182786
6019003807,3362,93722,-119.8532189,36.7591628
6071004604,5177,92405,-117.3080773,34.1420604
6065041101,5139,92503,-117.464757,33.9430035
6019006900,3170,93616,-119.5600522,36.6466139
6037310501,3205,91504,-118.3394509,34.1946547
6037237101,3705,90044,-118.2913772,33.9856234
6071000303,7169,91763,-117.7146207,34.0524327
6077005110,6488,95336,-121.200625,37.7985094
6037204410,2363,90033,-118.2152707,34.0461881
6077005122,4829,95330,-121.2731314,37.7868413
6059011601,7955,92832,-117.9286329,33.8608345
6037534406,4609,90201,-118.1749749,33.9647497
6037237300,5262,90047,-118.3110714,33.9782833
6037207301,4521,90013,-118.2516175,34.0465369
6037531901,6529,90022,-118.1423614,34.01324
6037192620,3868,90004,-118.2960541,34.0776717
6077001700,3998,95205,-121.2573976,37.9774362
6071005300,5516,92405,-117.2912706,34.1396027
6037199201,4089,90031,-118.211907,34.0762204
6037433504,4679,91733,-118.0551094,34.0585512
6019006201,2608,93657,-119.5374742,36.6847537
6037531101,5091,90063,-118.1885025,34.0360915
6037602105,4273,90250,-118.3481425,33.9200581
6071001001,4990,91762,-117.6754832,34.0808017
6001409200,3152,94603,-122.1777872,37.7290846
6037572900,5250,90810,-118.2113097,33.7930319
6037208402,2775,90026,-118.266009,34.0683668
6019002100,5419,93728,-119.8157426,36.7590503
6037132102,5310,91406,-118.497369,34.2020955
6037402902,6445,91766,-117.7449619,34.0340192
6019001900,2914,93706,-119.8872955,36.7085379
6077002100,5546,95205,-121.2438699,37.9376415
6047000201,3626,95303,-120.7094467,37.459795
6047002100,3862,93635,-120.9829041,36.9556144
6037127102,4726,91405,-118.4445253,34.2060073
6113010203,5397,95691,-121.563721,38.5637651
6037532605,3715,90255,-118.2251677,33.9842413
6037232400,6957,90062,-118.3108346,33.9993836
6071001809,4476,91761,-117.6035233,34.0246895
6077005129,3582,95330,-121.2887619,37.8179738
6019002300,3624,93728,-119.7942162,36.756122
6037408139,4482,91744,-117.9134004,34.012323
6047000902,8419,95341,-120.5557004,37.322387
6037187200,3132,90039,-118.2473892,34.1036004
6037209200,2785,90017,-118.2610818,34.0542091
6067004502,4795,95823,-121.4629263,38.5025521
6065042507,5011,92551,-117.2329208,33.883118
6071007107,3302,92313,-117.3231317,34.0386965
6037302002,3532,91206,-118.2505278,34.1491687
6037535901,5757,90280,-118.194008,33.9462081
6037575101,4754,90804,-118.1623973,33.7881302
6037228220,4389,90011,-118.2513193,34.0060455
6037536200,7289,90280,-118.1679058,33.9202524
6037121010,4989,91352,-118.403944,34.223913
6037221401,3359,90018,-118.3132694,34.033886
6077002800,6052,95206,-121.2537583,37.9156575
6037601700,5646,90304,-118.3498384,33.935217
6047001502,2822,95341,-120.4963376,37.2987597
6071004700,5791,92411,-117.3086072,34.124581
6019004701,6682,93705,-119.8369046,36.7994995
6037204420,3138,90033,-118.2116197,34.0445316
6037123410,4247,91605,-118.4214325,34.1993793
6037294810,3991,90744,-118.2714945,33.7795265
6037433700,3294,91733,-118.0588991,34.0468938
6037552400,2794,90650,-118.0498503,33.899139
6037121210,3122,91331,-118.4039928,34.2402959
6047001602,7243,95341,-120.4766004,37.2803817
6037302301,3790,91204,-118.2632446,34.1446832
6071001104,5058,91762,-117.6654013,34.0781089
6039000900,9612,93638,-120.0448456,36.9589685
6037540300,5267,90262,-118.2196223,33.933573
6037404600,1422,91706,-117.9635233,34.1119138
6077002503,2560,95206,-121.302748,37.9206017
6071009400,3493,92311,-117.0458056,34.8973677
6037602802,4304,90044,-118.3003773,33.9201775
6037533501,3090,90255,-118.200577,33.9854565
6029001600,1390,93301,-119.0153944,35.3769557
6037575300,4947,90813,-118.1850264,33.7862258
6059089003,4012,92843,-117.9289907,33.7633574
6037190520,3728,90027,-118.3038048,34.0999328
6019002501,5098,93703,-119.7634701,36.761369
6037242000,3938,90002,-118.2502155,33.9392821
6071001308,5100,91764,-117.6153156,34.078896
6071004101,5698,92407,-117.347706,34.1657154
6037296220,4307,90731,-118.2837798,33.7410279
6037602700,3045,90250,-118.3160924,33.9230881
6037294820,3579,90744,-118.2656258,33.7797819
6037531102,3548,90063,-118.1815818,34.0368392
6071001101,4092,91762,-117.6629921,34.0660715
6037228420,3150,90011,-118.2718914,34.0082598
6037127210,5531,91405,-118.4596472,34.2066365
6037531503,3116,90063,-118.174744,34.0294089
6099001603,5706,95351,-121.0267937,37.6150481
6037195720,2304,90026,-118.2633783,34.0737627
6107000501,6712,93618,-119.3859943,36.5384542
6037603005,5591,90247,-118.3047564,33.8982954
6037201402,4311,90032,-118.1877681,34.0689106
