,Census Tract,Total Population,ZIP,Longitude,Latitude
3407,6073011902,5246,91950,-117.0816035,32.6883686
3408,6037555104,4239,90715,-118.0653314,33.8357784
3409,6065043509,5117,92583,-116.9556879,33.7970346
3410,6067008129,3358,95621,-121.3205143,38.7026136
3411,6075980501,797,94134,-122.4191554,37.7162957
3412,6073002202,4859,92105,-117.1051018,32.7523973
3413,6065051300,8371,92583,-116.9542225,33.8238592
3414,6073013312,2853,91911,-117.0326038,32.6009941
3415,6001440333,2839,94587,-122.0738117,37.6053389
3416,6059099410,4101,92647,-117.9979307,33.7265017
3417,6077005004,5702,95366,-121.1609082,37.728534
3418,6071010804,2947,92407,-117.279282,34.2536638
3419,6037117102,2631,91343,-118.4598237,34.2481946
3420,6067009618,4642,95758,-121.466027,38.4423863
3421,6013336101,4802,94520,-122.034523,37.9667876
3422,6059088701,6067,92841,-117.9584718,33.7776732
3423,6059075805,4213,92866,-117.8365359,33.7932453
3424,6037553300,3390,90706,-118.1392813,33.9043767
3425,6085504410,4431,95132,-121.8789262,37.4093875
3426,6083002404,7800,93458,-120.4448288,34.9423293
3427,6001437600,3217,94544,-122.0804835,37.6353608
3428,6037405400,4795,91722,-117.9315739,34.0915037
3429,6037650605,2763,90503,-118.3504673,33.8453408
3430,6085504001,6017,95127,-121.8272278,37.3586509
3431,6103001000,7175,96021,-122.1205504,39.8864854
3432,6001438300,3731,94545,-122.088523,37.6282241
3433,6037111400,7560,91344,-118.496182,34.2578116
3434,6107001502,5918,93221,-119.1467114,36.285001
3435,6029003303,1471,93252,-119.451887,35.0702231
3436,6067008911,2295,95670,-121.3171784,38.5877273
3437,6037135102,3513,91307,-118.6174552,34.1886366
3438,6107002007,8185,93277,-119.3248599,36.2802907
3439,6065046404,5590,92595,-117.2771726,33.6510929
3440,6071009906,4941,92392,-117.3728997,34.4768743
3441,6099000907,3200,95350,-120.9850908,37.6835377
3442,6029005506,5998,93560,-118.3200023,34.885114
3443,6037403801,6212,91724,-117.8678976,34.1029152
3444,6059099242,3584,92647,-117.9808564,33.7191973
3445,6111000600,6141,93060,-119.0606093,34.3535231
3446,6037106603,2979,91344,-118.5244831,34.3123662
3447,6081601601,2893,94014,-122.4496579,37.6781941
3448,6085512401,4782,95046,-121.6054408,37.059904
3449,6059087105,4635,92802,-117.9346612,33.8274824
3450,6071010017,14798,92344,-117.3996436,34.3808892
3451,6073002710,4228,92105,-117.0844892,32.7439483
3452,6001433102,3989,94578,-122.1335017,37.7021541
3453,6023010901,4533,95540,-124.1377835,40.5984451
3454,6073010015,2803,92154,-116.9530603,32.560142
