Census_Tract,Asthma,Low_Birth_Weight,Cardiovascular_Disease,Poverty,Unemployment,Traffic
6037218500,86.4,6.4,8.69,43.8,14.5,3494.81
6071007604,65.42,7.11,10.49,44.0,13.4,816.27
6037541605,87.61,5.26,13.56,69.9,13.2,569.24
6037204810,48.12,7.84,7.63,68.1,8.9,3462.77
6019002701,119.79,5.83,17.15,70.6,23.8,503.14
6037531504,62.41,8.17,12.06,74.3,19.9,1055.23
6037502301,69.12,4.66,15.61,37.3,5.9,1740.58
6099002004,82.36,3.82,11.99,69.2,16.2,715.01
6071004800,146.12,4.15,14.46,68.8,23.1,1152.22
6037224020,61.73,5.57,8.48,74.7,7.3,2838.24
6037535002,79.03,6.05,12.37,67.4,12.2,868.15
6037228720,63.52,4.97,9.63,79.6,9.8,733.04
6037541606,87.61,5.48,13.56,68.2,21.5,564.74
6037503000,61.52,5.33,11.41,59.5,8.0,534.3
6037536000,40.63,5.9,10.11,49.5,8.9,1341.61
6037208302,43.26,5.83,5.85,69.0,18.7,978.19
6025011400,111.93,5.03,14.15,73.4,17.0,775.0
6037603001,79.41,5.82,10.07,50.2,9.9,672.27
6037602900,64.76,4.36,7.88,55.4,12.7,878.43
6059086407,64.35,6.21,10.34,35.2,9.7,3352.1
6077005131,78.39,6.04,10.01,42.8,9.6,597.66
6099003804,82.64,5.11,14.43,40.7,21.8,786.64
6037541700,52.08,6.33,9.79,53.3,13.4,2981.66
6037219300,79.88,7.49,8.68,72.6,10.2,1675.33
6037190801,51.33,6.04,8.14,69.6,16.7,1709.02
6037206010,29.02,7.66,4.77,71.8,7.6,1103.19
6037104320,73.79,5.28,7.7,55.4,20.5,1598.63
6037408301,50.38,4.13,9.71,38.1,14.1,1817.66
6037190510,54.08,9.18,8.65,60.3,14.0,2377.56
6037402903,70.31,6.73,10.29,55.4,10.5,467.93
6037128303,65.74,6.08,12.01,81.2,21.6,1313.59
6029000400,79.19,6.17,11.22,76.9,21.3,761.33
6099002005,75.82,5.51,11.25,47.5,18.1,530.45
6037402406,77.44,5.45,9.0,58.8,10.3,1632.78
6037533603,46.57,4.83,9.72,66.6,12.5,952.7
6107003400,55.95,5.12,11.45,68.3,12.2,231.55
6111009100,113.9,5.59,14.69,66.7,17.5,540.26
6019002602,111.87,8.71,15.94,70.5,9.4,538.31
6071006601,95.84,5.97,16.38,55.1,18.0,1730.55
6037243000,74.11,4.7,9.79,70.9,10.2,750.45
6037228710,63.52,5.4,9.63,79.5,13.4,967.19
6099002604,42.7,6.13,10.61,73.0,23.3,1349.46
6037433101,51.34,6.41,8.34,47.3,3.3,3215.01
6029004800,53.43,5.32,9.86,81.0,17.3,691.93
